"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"Colour therapist","colour-therapist","Published","3219E","complementary therapist","http://data.europa.eu/esco/occupation/c2a29b8d-1042-4766-a162-e174c7a77422","partial match","probably as close as ESCO gets for this one as very specialised role"
"Commercial energy assessor","commercial-energy-assessor","Published","3531B","energy assessor","http://data.europa.eu/esco/occupation/c7f5cab7-7cfb-47d7-890c-6b9c00a9eaaf","good match",
"Commissioning editor","commissioning-editor","Published","2471C","book editor","http://data.europa.eu/esco/occupation/4bef1707-a251-427e-9d8b-96595ec38d45","good match","ESCO publisher coud also be used"
"Communication support worker","communication-support-worker","Published","3412C","disability support worker","http://data.europa.eu/esco/occupation/9c55aa23-e3f2-4c00-8c90-5ed5204951a3","decision req","ESCO has sign language interpreter http://data.europa.eu/esco/occupation/9a2147aa-a72f-4f83-8653-c3f50d4e1e73 but is quite general; it also has special educational needs assistant http://data.europa.eu/esco/occupation/1f137f0b-7097-4583-9d1b-b69e57369319 assistant which is closer to emphasis on job profile but covers other SEN needs not just hearing impairment"
"Community arts worker","community-arts-worker","Published","3231B","community artist","http://data.europa.eu/esco/occupation/4efdf62f-a1d9-450e-aebc-2d6a6110f05d","good match",
"Community development worker","community-development-worker","Published","3231C","community development social worker","http://data.europa.eu/esco/occupation/ff2c1183-3fd7-40c7-8ddc-b20b100363c3","replace","ESCO community development officer http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74"
"Community education co-ordinator","community-education-coordinator","Published","3231D","community development officer","http://data.europa.eu/esco/occupation/39e9fc8f-02bd-4577-b603-2dc96204ce74","good match",
"Community matron","community-matron","Published","2231D","community health worker","http://data.europa.eu/esco/occupation/c7ad889f-10fc-4346-b740-bd479ad82b47","replace","ESCO advanced nurse practitioner has community team leader/head of community nursing which is in line with profile as you usually need to be exp nurse to do this  http://data.europa.eu/esco/occupation/36494988-69d2-4420-9db4-eb56605ac983"
"Community transport driver","community-transport-driver","Published","8213B","bus driver","http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58","partial match","bus driver about as close as ESCO have"
"Company secretary","company-secretary","Published","1131A","financial manager","http://data.europa.eu/esco/occupation/30f3ea93-882a-4525-841c-1d5b4b64076f","good match","EC title listed under ESCO hierarchy http://data.europa.eu/esco/isco/C1211"
"Computer games developer","computer-games-developer","Published","2136A","digital games developer","http://data.europa.eu/esco/occupation/9ebaf3f0-0be0-47b7-b2b1-b3b04130fa81","good match",
"Computer games tester","computer-games-tester","Published","3131A","digital games tester","http://data.europa.eu/esco/occupation/33e4f026-a823-4ffc-99e4-60d3fe597a1e","good match",
"Conference and exhibition manager","conference-and-exhibition-manager","Published","3546B","event manager","http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79","good match",
"Conservator","conservator","Published","2141A","conservator","http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d","good match",
"Construction contracts manager","construction-contracts-manager","Published","1133A","construction manager","http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56","replace","ESCO has contract engineer which is closer match although construction terms on in optional knowledge http://data.europa.eu/esco/occupation/836f0a96-7546-4003-9fc8-714fc79199d4"
"Construction labourer","construction-labourer","Published","8149C","building construction worker","http://data.europa.eu/esco/occupation/fb7e2f4f-1545-42f1-972e-94082e49c6dc","good match",
"Construction manager","construction-manager","Published","1122A","construction general supervisor","http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f","replace","ESCO has contruction manager http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56"
"Construction plant hire adviser","construction-plant-hire-adviser","Published","7129C","construction manager","http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56",,
"Construction plant mechanic","construction-plant-mechanic","Published","5223B","construction equipment technician","http://data.europa.eu/esco/occupation/b0480558-269d-4903-9bc7-f390cd6a6964","good match",
"Construction plant operator","construction-plant-operator","Published","8229A","excavator operator","http://data.europa.eu/esco/occupation/eedbf8b1-9432-4f42-ab7f-db5cd3eb2a05","good match","ESCO also has bulldozer operator but skills almost the same as this"
"Construction site supervisor","construction-site-supervisor","Published","5330A","construction general supervisor","http://data.europa.eu/esco/occupation/0dd7e6cd-2e5a-4fae-9ce0-6a3622d4019f","good match","ESCO has a lot of individual trades supervisors, so this probs best match to cover all"
"Consumer scientist","consumer-scientist","Published","2119A","market research analyst","http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1","good match",
"Copy editor","copy-editor","Published","2471D","copy editor","http://data.europa.eu/esco/occupation/8bd74371-1818-47d5-a253-d703c51c5f26","good match",
"Coroner","coroner","Published","2412B","coroner","http://data.europa.eu/esco/occupation/c6c48286-2037-47e3-a132-b745dce858e2","good match",
"Cosmetic surgeon","cosmetic-surgeon","Published","2211H","specialised doctor","http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac","good match","plastic surgeon listed in ESCO optional knowledge"
"Costume designer","costume-designer","Published","3422C","Costume designer","http://data.europa.eu/esco/occupation/d1b1dfdf-7d60-430a-b569-7dd71b2ebeaa","good match",
"Counsellor","counsellor","Published","3235A","social counsellor","http://data.europa.eu/esco/occupation/5727b567-993d-4d41-a13d-81a6af1a9a8e","good match",
"Counter service assistant","counter-service-assistant","Published","9272A","quick service restaurant crew member","http://data.europa.eu/esco/occupation/96a0d8d3-d4a6-473d-80d6-b5dbadde940a","partial match","ESCO Food service counter attendants category better but no skills categories and no lower level equivalents apart from one used here - http://data.europa.eu/esco/isco/C5246"
"Countryside officer","countryside-officer","Published","2141B","countryside officer","http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9","good match",
"Countryside ranger","countryside-ranger","Published","3550A","countryside officer","http://data.europa.eu/esco/occupation/e011f10f-e172-43ce-bfd9-fb56e426c0c9","replace","ESCO has nature conservation officer which is closer to JP emphasis http://data.europa.eu/esco/occupation/80d880ec-3bae-45a2-a2d3-41345ee0b319"
"Courier","courier","Published","8212A","postman/postwoman","http://data.europa.eu/esco/occupation/7ed2e153-8da8-4c0d-b4c5-3402c623f34b","replace","ESCO has delivery driver which is closer match http://data.europa.eu/esco/occupation/0c408028-c48f-4df8-ba5d-c3d3be15f5a2"
"Court administrative assistant","court-administrative-assistant","Published","4112A","court administrative officer","http://data.europa.eu/esco/occupation/a7f63810-a21a-4e7e-8aa2-6637d14ea3c1","good match",
"Court legal adviser","court-legal-adviser","Published","2419A","lawyer","http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53","good match","these are qualified lawyers who work in court"
"Court usher","court-usher","Published","9249B","usher","http://data.europa.eu/esco/occupation/7f346896-a4fb-47a1-9572-13398bc297a6","decision req","essential skills not that good, eg talks about selling/checking tickets, but optional skills has some closer matches"
"Crane driver","crane-driver","Published","8221A","tower crane operator
mobile crane operator","http://data.europa.eu/esco/occupation/0ea5fdff-074c-4094-98b9-04432361e4d9
http://data.europa.eu/esco/occupation/1f2b8092-1787-4ef4-9282-cf81ce4b4d76
http://data.europa.eu/esco/occupation/1f2b8092-1787-4ef4-9282-cf81ce4b4d76","2 ESCO options","both OK but go with tower crane if have to choose"
"Credit controller","credit-controller","Published","4121A","debt collector","http://data.europa.eu/esco/occupation/50a66df6-c141-4b4a-937a-d3bc55737ae3","good match",
"Credit manager","credit-manager","Published","3538A","credit manager","http://data.europa.eu/esco/occupation/32fafe2c-0099-4852-889e-46614ce9a9ae","good match",
"Crematorium technician","crematorium-technician","Published","6148C","funeral services director","http://data.europa.eu/esco/occupation/857ed740-f4ae-43d0-8295-d6181f1d7eed","good match",
"Cricketer","cricketer","Published","3441D","professional athlete","http://data.europa.eu/esco/occupation/082c234c-0dda-490a-b5af-757c3e48da90","good match","although not listed in ESCO alt labels, it would sit here if it was"
"Criminal intelligence analyst","criminal-intelligence-analyst","Published","2426A","intelligence officer","http://data.europa.eu/esco/occupation/4ca8ba6c-dc55-40c0-ae6c-d55c94dd2e03","good match",
"Criminologist","criminologist","Published","2114B","criminologist","http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79","good match",
"Critical care technologist","critical-care-technologist","Published","3219F","medical device engineering technician","http://data.europa.eu/esco/occupation/30641348-f9f2-4fe5-ab8c-fe6ff9931a54","good match","ESCO also has Medical device engineers on Esut these are more about designing/manufacturing devices"
"Croupier","croupier","Published","6211B","gaming dealer","http://data.europa.eu/esco/occupation/fb1a7aab-1e33-4712-b8e0-d335243aba58","good match",
"Crown prosecutor","crown-prosecutor","Published","2412C","prosecutor","http://data.europa.eu/esco/occupation/acf462a3-9c34-46cb-952a-c612c38299f4","good match",
"Cruise ship steward","cruise-ship-steward","Published","6219B","ship steward/ship stewardess","http://data.europa.eu/esco/occupation/6a2270bc-3f69-4cfd-b99b-fdc2c70d1779","good match",
"Customer service assistant","customer-service-assistant","Published","7219A","customer service representative","http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7","good match",
"Customer services manager","customer-services-manager","Published","1259A","service manager","http://data.europa.eu/esco/occupation/bcc2c1db-f969-4355-bebf-4878ff6c2a94","good match",
"Customs officer","customs-officer","Unpublished","3319D","customs officer","http://data.europa.eu/esco/occupation/5f16819d-50b9-475b-a2d8-607ee6d99a9d",,"this profile on EC now merged with Border Force officer and no longer needed - can be deleted"
"Cyber intelligence officer","cyber-intelligence-officer","Published","2139A","intelligence officer","http://data.europa.eu/esco/occupation/4ca8ba6c-dc55-40c0-ae6c-d55c94dd2e03","good match",
"Cycle mechanic","cycle-mechanic","Published","5223C","bicycle mechanic","http://data.europa.eu/esco/occupation/336cf331-8082-4a0c-bf5f-e7c54706211c","good match",
"Cycling coach","cycling-coach","Published","3442B","sports coach","http://data.europa.eu/esco/occupation/3e9c1262-4fe2-4eb1-bf94-4fe64498393a","good match",
"Dance movement psychotherapist","dance-movement-psychotherapist","Published","2229H","dance therapist","http://data.europa.eu/esco/occupation/789d9781-8724-4367-936a-3a4cb7c54315","good match",
"Dance teacher","dance-teacher","Published","2312B","dance teacher","http://data.europa.eu/esco/occupation/1eb56b85-af25-43d4-9e35-73d8ee78e228","good match",
"Dancer","dancer","Published","3414B","dancer","http://data.europa.eu/esco/occupation/07b91f36-8272-493a-8e1c-5625e77efe68","good match",
"Data analyst-statistician","data-analyst-statistician","Published","2425B","data analyst","http://data.europa.eu/esco/occupation/d3edb8f8-3a06-47a0-8fb9-9b212c006aa2","good match",
"Data entry clerk","data-entry-clerk","Published","4217A","data entry clerk","http://data.europa.eu/esco/occupation/6353b3e8-e8f2-4ecb-b230-186927139892","good match",
"Database administrator","database-administrator","Published","3131B","database administrator","http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc","good match",
"Delivery van driver","delivery-van-driver","Published","8212B","delivery driver","http://data.europa.eu/esco/occupation/0c408028-c48f-4df8-ba5d-c3d3be15f5a2","good match",
"Demolition operative","demolition-operative","Published","8149D","demolition worker","http://data.europa.eu/esco/occupation/dd89e26f-bb5c-45cb-91c6-8b4d5d82a31f","good match",
"Dental hygienist","dental-hygienist","Published","3218A","dental hygienist","http://data.europa.eu/esco/occupation/d18deca3-3063-4970-9ddc-e3c70404a28c","good match",
"Dental nurse","dental-nurse","Published","6143A","dental chairside assistant","http://data.europa.eu/esco/occupation/bdc74965-1d1a-4f8e-a490-9cf71f494e02","good match",
"Dental technician","dental-technician","Published","3218C","dental technician","http://data.europa.eu/esco/occupation/76bded28-876a-40b2-9efb-3123c8f14cf6","good match",
"Dental therapist","dental-therapist","Published","3218D",,,"decision req","ESCO only has broader category for dental assistants and therapists http://data.europa.eu/esco/isco/C3251 - could poss use dental practitioner as therapists can do some basic dentist work alongside their own duties http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241 or use dental hygienist as therapist listed under alt label http://data.europa.eu/esco/occupation/d18deca3-3063-4970-9ddc-e3c70404a28c"
"Dentist","dentist","Published","2215A","dental practitioner","http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241","good match",
"Design and development engineer","design-and-development-engineer","Published","2126B",,,"good match","poss design engineer http://data.europa.eu/esco/occupation/6fc8f605-98b9-4218-b5e2-91c4c9c55c4d"
"Dietitian","dietitian","Published","2219B","dietitian","http://data.europa.eu/esco/occupation/8a53f8d3-d995-4c7b-a70d-d79f76bdcb3f","good match",
"Digital delivery manager","digital-delivery-manager","Published","2134A",,,"partial match","poss ICT project manager http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525"
"Digital marketer","digital-marketer","Published","3543A","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","good match",
"Digital product owner","digital-product-owner","Published","2133A","ICT product manager","http://data.europa.eu/esco/occupation/a79170ad-0b7b-4697-864f-1748359aa10a","good match",
"Diplomatic service officer","diplomatic-service-officer","Published","3561A","diplomat","http://data.europa.eu/esco/occupation/1fb92021-9576-4c85-8759-f6918e9f0ad4",,
"Director of photography","director-of-photography","Published","3417F","director of photography","http://data.europa.eu/esco/occupation/6ba25e0f-7fb8-4879-a1f9-d4f8945966be",,
"Dispensing optician","dispensing-optician","Published","3216A","optician","http://data.europa.eu/esco/occupation/6e0e068b-cd5c-4400-8899-54056087fa14",,
"District nurse","district-nurse","Published","2231E","nurse responsible for general care","http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50",,"http://data.europa.eu/esco/isco/C2221 - district nurse incl under broad category but nurse responsible for general care incl districyt nurse under alt label"
"Diver","diver","Published","5319A","construction commercial diver","http://data.europa.eu/esco/occupation/5a596834-bc8f-4273-8d09-006957b60347",,"can adjust diver profile to emphasise eng/const aspects - ESCO also has harvest diver and rescue diver"
"DJ","dj","Published","3413D","disc jockey","http://data.europa.eu/esco/occupation/1d4a4baf-4073-43bd-ac72-ff7d443273ff",,
"Dog groomer","dog-groomer","Published","6139E","animal groomer","http://data.europa.eu/esco/occupation/5a940ae0-3fa4-40f9-8ca4-17bf792da243","good match",
"Dog handler","dog-handler","Published","6139F","dog trainer","http://data.europa.eu/esco/occupation/2662ed6c-a705-4895-8e9d-0a85c08ad908","good match",
"Domestic appliance service engineer","domestic-appliance-service-engineer","Published","5241B","household appliances repair technician","http://data.europa.eu/esco/occupation/f4eaff3d-f8d0-4a6a-aa90-76827c0fbada","good match",
"Domestic energy assessor","domestic-energy-assessor","Published","3531C","domestic energy assessor","http://data.europa.eu/esco/occupation/09e070ce-0afe-40bb-be90-530e5d42cdbd","good match",
"Door supervisor","door-supervisor","Published","9249C","door supervisor","http://data.europa.eu/esco/occupation/7e17f4ea-9565-41e0-b408-b52b5c9492a3","good match",
"Dramatherapist","dramatherapist","Published","2229I","art therapist","http://data.europa.eu/esco/occupation/eb48ccbd-75f2-4799-81be-443034858473","decision req","Dramatherapist listed as alt label under ESCO Art therapist - Recreational therapist slightly broader category but less reliance on art therapy mentions - check if broader cat can be used or can terms be contexualised to sub art for drama where mentioned"
"Dressmaker","dress-maker","Published","5414B","dressmaker","http://data.europa.eu/esco/occupation/5589e8e0-48d9-4193-8c85-86ba9f17e0e9","good match",
"Driving instructor","driving-instructor","Published","8215A","driving instructor","http://data.europa.eu/esco/occupation/bca2528a-5a87-4576-a3b5-1edbbce40a9f","good match",
"Drone pilot","drone-pilot","Published","3417A",,,"no match","check ONET and ONS msge on this one"
"Drug and alcohol worker","drug-and-alcohol-worker","Published","3235B","drug and alcohol addiction counsellor","http://data.europa.eu/esco/occupation/5d758e75-a116-485a-b800-5db08ffd3ba1","good match",
"Dry cleaner","dry-cleaner","Published","9234B","laundry worker","http://data.europa.eu/esco/occupation/0da51178-e386-4534-ae71-15ba789ad756","good match",
"Dry liner","dry-liner","Published","8149E","plasterer","http://data.europa.eu/esco/occupation/f4a22809-c00c-4dd0-8b09-c7251f8dcd1c","partial match","poss plasterer as incl drywall in skills"
"Early years teacher","early-years-teacher","Published","2315B","early years teacher","http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83","good match",
"Ecologist","ecologist","Published","2141C","ecologist","http://data.europa.eu/esco/occupation/89b87aa2-4008-4cc7-96f8-e2b5ffe59f28","good match",
"E-commerce manager","e-commerce-manager","Published","3545E","online sales channel manager"," http://data.europa.eu/esco/occupation/1dd7c3cb-2d58-4dad-ae15-c9081174ab7e","good match","poss online sales channel manager "
"Economic development officer","economic-development-officer","Published","2425C","economic development coordinator","http://data.europa.eu/esco/occupation/9e1e8379-6377-4969-b141-0d2337218fc9","good match",
"Economist","economist","Published","2425D","economist","http://data.europa.eu/esco/occupation/99492920-e5a5-4dba-9e5a-93193147198c","good match",
"Editorial assistant","editorial-assistant","Published","3412D","editorial assistant","http://data.europa.eu/esco/occupation/bcba793e-44fe-45eb-b0fb-56772529cbab","good match",
"Education technician","education-technician","Published","3119A",,,"no match",
"Education welfare officer","education-welfare-officer","Published","3233A","education welfare officer","http://data.europa.eu/esco/occupation/19f6634f-ec0c-4513-b0d9-d43f9ddeb82d","good match",
"E-learning developer","e-learning-developer","Published","2137F","e-learning developer","http://data.europa.eu/esco/occupation/ec5b72d1-0206-4179-9abd-570c66bc44b9","good match",
"Electrical engineer","electrical-engineer","Published","2123A","electrical engineer","http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22","good match",
"Electrical engineering technician","electrical-engineering-technician","Published","3113D","electrical engineering technician","http://data.europa.eu/esco/occupation/9aa2a36f-296e-45fe-9798-b7839e0ed389","good match",
"Electrician","electrician","Published","5241A","electrician","http://data.europa.eu/esco/occupation/4910419f-b4af-4f59-b544-9dbebc8a74f0","good match",
"Electricity distribution worker","electricity-distribution-worker","Published","5241C","electricity distribution worker","http://data.europa.eu/esco/occupation/c89afd9a-7dad-4bae-9315-5fcadd9ad8b6","good match",
"Electricity generation worker","electricity-generation-worker","Published","8124A","power plant control room operator","http://data.europa.eu/esco/occupation/f33a70bd-c5b6-495d-8e0c-5e2c6e56d93e","good match","poss power plant control room operator has same emphasis as JP "
"Electronics engineer","electronics-engineer","Published","2124B","electronics engineer","http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224","good match",
"Electronics engineering technician","electronics-engineering-technician","Published","3112A","electronics engineering technician","http://data.europa.eu/esco/occupation/27811419-407f-4868-a388-2f7df7aafd91","good match",
"Embalmer","embalmer","Published","6148D","embalmer","http://data.europa.eu/esco/occupation/dc34c345-caf9-4ab7-b496-e18a572194ba","good match",
"Emergency care assistant","emergency-care-assistant","Published","6141B","emergency ambulance driver","http://data.europa.eu/esco/occupation/64e909ad-1bd0-493c-a8dc-1afbed0c9c2f","good match","poss emergency ambulance driver - ESCO also has assistant in emergency care in alt labels"
"Emergency medical dispatcher","emergency-medical-dispatcher","Published","7214A","emergency medical dispatcher","http://data.europa.eu/esco/occupation/68450507-b4a0-40e0-895b-385fe705be10","good match",
"Energy engineer","energy-engineer","Published","2123B","energy engineer","http://data.europa.eu/esco/occupation/b2cede50-82bb-4684-9f11-1930e12ad672","good match",
"Engineering construction craftworker","engineering-construction-craftworker","Published","5223D","industrial machinery mechanic","http://data.europa.eu/esco/occupation/269c47e7-9017-4aa6-bce8-49e89a696a64","good match",
"Engineering construction technician","engineering-construction-technician","Published","3113E","industrial engineering technician","http://data.europa.eu/esco/occupation/bcc21c63-7eee-4520-8fa7-43eefd389668","good match",
"Engineering craft machinist","engineering-craft-machinist","Published","5223E","tool and die maker","http://data.europa.eu/esco/occupation/ecac98ea-9fc3-4475-9b23-8af94f41603d","good match",
"Engineering maintenance technician","engineering-maintenance-technician","Published","3113F","industrial machinery mechanic","http://data.europa.eu/esco/occupation/269c47e7-9017-4aa6-bce8-49e89a696a64","good match","ESCO also has production machinery technician which decent match but ind machinery mechanic slightly better match"
"Engineering operative","engineering-operative","Published","8149F","fitter and turner","http://data.europa.eu/esco/occupation/898f99f7-8c0a-4212-9e58-9ab00379e5ae","partial match",
"English as a foreign language (EFL) teacher","efl-teacher","Published","2319A","language school teacher","http://data.europa.eu/esco/occupation/9711dcfc-d9a8-4fba-9c5e-8428d8bcb53e","good match","poss language school teacher as ESOL falls under alt labels on ESCO"
"Entertainer","entertainer","Published","3413E","variety artist","http://data.europa.eu/esco/occupation/76deb33d-f9bc-4ca2-a5cc-49c8f5a17f38","good match","poss variety artist - entertainer listed under alt labels"
"Entertainment agent","entertainment-agent","Published","3416A","talent agent","http://data.europa.eu/esco/occupation/c85e39a4-2c40-413f-a171-45907ecdd599","good match",
"Environmental consultant","environmental-consultant","Published","2142A","environmental engineer","http://data.europa.eu/esco/occupation/ac1fc6a9-70d2-475c-8fa0-82ef83830968","good match",
"Environmental health officer","environmental-health-officer","Published","2463A","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","replace","ESCO has environmenatal health inspector, which is slightly higher level but skills more specific and closer match http://data.europa.eu/esco/occupation/a092cb70-f3e3-4224-98a3-b97c0114de77"
"Equalities officer","equalities-officer","Published","3562A","equality and inclusion manager","http://data.europa.eu/esco/occupation/949ab84f-5d76-4139-a568-45691b7ebc53","good match",
"Ergonomist","ergonomist","Published","2126C","ergonomist","http://data.europa.eu/esco/occupation/1d75ea5a-f902-4b47-8d63-5c6d2a5c0bb5","good match",
"Estate agent","estate-agent","Published","3544A","real estate agent","http://data.europa.eu/esco/occupation/8ec8df02-e9dd-43b7-b416-5846ae0414ab","good match",
"Estates officer","estates-officer","Published","1251A","housing manager","http://data.europa.eu/esco/occupation/dd935705-d703-40ba-9ba7-2a8a2b7651b4","partial match","housing manager covers more of the skils/knowledge req for NCS role. ESCO also has real estate property manager http://data.europa.eu/esco/occupation/0f5b4653-50b2-413a-826d-39d447480c21 - which lists estate manager/estate admin but is more about the financial side so gone with housing officer"
"Estimator","estimator","Published","3531D","cost analyst","http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84","partial match",
"European Union official","european-union-official","Published","3561B","senator","http://data.europa.eu/esco/occupation/73c3f018-71ce-4dc1-abdd-14cea7873717","good match","skills and knowledge similar though job desc is about government level rather than EU"
"Events manager","events-manager","Published","3546A","event manager","http://data.europa.eu/esco/occupation/1b38a27d-ef98-4d9f-b1b2-8c109bf47e79","good match",
"Exhibition designer","exhibition-designer","Published","3421B","set designer","http://data.europa.eu/esco/occupation/874a2080-a9b6-46a9-8662-c9b7d4208f73","good match",
"Facilities manager","facilities-manager","Published","1251B","facilities manager","http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43","good match",
"Fairground worker","fairground-worker","Published","9275B","amusement and recreation attendant","http://data.europa.eu/esco/occupation/e31c83ac-cb74-4936-88f1-90ed0997b29b","good match",
"Family mediator","family-mediator","Published","2449A","mediator","http://data.europa.eu/esco/occupation/403be630-8d1e-43b7-9f07-098aca5bb689","good match",
"Family support worker","family-support-worker","Published","3231A","family support worker","http://data.europa.eu/esco/occupation/4c89c65c-4e35-44e3-8fa0-5d73e9e15325","good match",
"Farm secretary","farm-secretary","Published","4215C","farm manager","http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19","good match",
"Farm worker","farm-worker","Published","9111A","crop production worker
livestock worker","http://data.europa.eu/esco/occupation/c9191f7f-28b5-4df8-991d-804c53009b83
http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791
http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791","2 ESCO options","ESCO splits farm worker into arable and livestock - would need both to cover jp"
"Farmer","farmer","Published","1121A","mixed farmer","http://data.europa.eu/esco/occupation/1c1e86f9-6347-42d6-aa6e-c95b138bf640","good match",
"Farrier","farrier","Published","5211B","farrier","http://data.europa.eu/esco/occupation/bcffa133-c499-4db4-8e4f-b2d95da3b0fc","good match",
"Fashion design assistant","fashion-design-assistant","Published","3422D","clothing fashion designer","http://data.europa.eu/esco/occupation/d1a554d0-7ad6-4d42-897e-ed31d022fb0b","good match",
"Fashion designer","fashion-designer","Published","3422E","fashion designer","http://data.europa.eu/esco/occupation/77bfd6e7-5598-4818-84cb-31e2651eb046","good match",
"Fashion model","fashion-model","Published","3413F","fashion model","http://data.europa.eu/esco/occupation/9af5fd79-d76e-4343-bc13-ff2d172aec62","good match",
"Fence installer","fence-installer","Published","5319B",,,"no match","ESCO has landscape gardener which inlcudes fence building but other duties are not compatible http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f
ESCO also has building construction worker which has some of the general skills req but others which are not http://data.europa.eu/esco/occupation/e7970c7a-7769-4002-87d3-0a8ea94fdd6f"
"Film critic","film-critic","Published","2471I","critic","http://data.europa.eu/esco/occupation/fdd8eef7-d89c-419f-9166-0747f466a769","good match",
"Finance officer","finance-officer","Published","4124A","financial controller","http://data.europa.eu/esco/occupation/5e5b1b61-1351-4d3b-a293-deb3661715dd","good match",
"Financial adviser","financial-adviser","Published","3534A","financial planner","http://data.europa.eu/esco/occupation/21de0f3b-a71a-4263-a9ba-90c5f3721b4d","good match",
"Financial services customer adviser","financial-services-customer-adviser","Published","4123B",,,"decision req","poss bank tellers, as although normally on-site job, the skills listed can all be used remotely as emphasis of JP is on financial contact centre work http://data.europa.eu/esco/occupation/2ff9e53c-6e7f-42af-8d71-b5dd7f283089 or customer contact centre information clerk http://data.europa.eu/esco/occupation/b7b75eb6-34bc-462d-b412-eed393cc1397"
"Fine artist","fine-artist","Published","3411B","conceptual artist","http://data.europa.eu/esco/occupation/969f8af0-3c0d-403a-9c16-a6fb76c6b443","good match","ESCO has breakdown for painter, drawing and sculptor among others but this covers all at a more generic level"
"Fingerprint officer","fingerprint-officer","Published","3312B","criminal investigator","http://data.europa.eu/esco/occupation/3cee6bea-4a19-4511-9bbb-fdf820857555","decision req","ESCO does include fingerprint officer in alt labels but lot of the skills relate more to crime scene investigaton/forensics"
"Firefighter","firefighter","Published","3313A","firefighter","http://data.europa.eu/esco/occupation/88721b6c-d2ce-41c6-8878-73c0d3aacf39","good match",
"Fish farmer","fish-farmer","Published","5111B","aquaculture production manager","http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3","good match","poss aquaculture production manager "
"Fish frier","fish-frier","Published","5435A","fish cook","http://data.europa.eu/esco/occupation/b9de6d8b-1cf6-4722-bf8c-d73aad03bf87","good match",
"Fishing boat deckhand","fishing-boat-deckhand","Published","9119A","fisheries boatman","http://data.europa.eu/esco/occupation/270528cf-2bf9-463d-aeaa-d169b1f767c1","good match",
"Fishing vessel skipper","fishing-vessel-skipper","Published","5119C","fisheries boatmaster","http://data.europa.eu/esco/occupation/ff63fa99-c634-4e6f-a693-6a49482952e9","good match",
"Fishmonger","fishmonger","Published","5433A","fish and seafood specialised seller","http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f","good match",
"Fitness instructor","fitness-instructor","Published","3443B","fitness instructor","http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7","good match",
"Florist","florist","Published","5443A","flower and garden specialised seller","http://data.europa.eu/esco/occupation/c0768628-46ad-4077-aee0-66ab6d7711df","good match",
"Food factory worker","food-factory-worker","Published","8111C","food production operator","http://data.europa.eu/esco/occupation/e3dc66de-99c7-4607-a82b-7244036d316d","good match","ESCO has a lot of individual roles for types of production but this covers all more generally"
"Food manufacturing inspector","food-manufacturing-inspector","Published","8133A","food safety inspector","http://data.europa.eu/esco/occupation/7d8b3c73-20f8-467e-91e4-00378673a2cd","good match",
