"Title","Url","isPublished","SocCode","EscoTitle","EscoUri","status after SME check","SME comments"
"Textile machinery technician","textile-machinery-technician","Published","3116B","textile machinery technician","http://data.europa.eu/esco/occupation/2aa7fbbb-f06e-4454-8ff8-2d799e86ba51",,
"Textile operative","textile-operative","Published","9139C","textile machine operator ","http://data.europa.eu/esco/occupation/2b136e51-154b-4cb2-8130-f73228f14b11",,
"Textiles production manager","textiles-production-manager","Published","1121B","textile operations manager","http://data.europa.eu/esco/occupation/518348e6-0095-4f37-ad46-5ef1b8b5ee2f",,
"Thatcher","thatcher","Published","5313B","roofer","http://data.europa.eu/esco/occupation/b4c6d1b0-929e-48be-9f67-47bd8c30658b",,
"Thermal insulation engineer","thermal-insulation-engineer","Published","8149G","thermal engineer","http://data.europa.eu/esco/occupation/afbe50b0-6634-4677-a3e7-0aada10cb9a7",,
"Tiler","tiler","Published","5313C","tile fitter","http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6",,
"Toolmaker","toolmaker","Published","5222A","tooling engineer","http://data.europa.eu/esco/occupation/79fed799-ab3a-43d9-bd91-414c2c3b2f57",,
"Tour manager","tour-manager","Published","6219D","tour operators manager","http://data.europa.eu/esco/occupation/02609ece-cea3-43fa-bf38-b6fb821f28b2",,
"Tourist guide","tourist-guide","Published","6219A","guide","http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074",,
"Tourist information centre assistant","tourist-information-centre-assistant","Published","6219E","tourist information officer","http://data.europa.eu/esco/occupation/9b35eab1-2adc-4057-a620-181862656a19",,
"Town planner","town-planner","Published","2432A","urban planner","http://data.europa.eu/esco/occupation/e14548c8-c2b9-4ef8-8670-d5967d7ad804",,
"Town planning assistant","town-planning-assistant","Published","3121B","urban planner","http://data.europa.eu/esco/occupation/30aef4c6-49ca-4464-bf82-78ed88b3eb9b","partial match","some of the ESCO entries OK but others are slightly too high for assistant level but this about best match available as no equivalent on ESCO"
"Tractor driver","tractor-driver","Published","8223A","land-based machinery operator","http://data.europa.eu/esco/occupation/1b8c75a9-407b-4554-a7d6-df391672c6b1",,
"Trade mark attorney","trade-mark-attorney","Published","2462C","corporate lawyer","http://data.europa.eu/esco/occupation/fdfce14e-992d-4ff4-9f9d-7a353c75654e","replace","ESCO intellectual property consultant closer match to JP http://data.europa.eu/esco/occupation/5a8835bf-65c7-48e3-ab2f-7ad98b3fdb59"
"Trade union official","trade-union-official","Published","4114A","special-interest groups' official","http://data.europa.eu/esco/occupation/e9cf8b24-6b8b-47cc-9dd3-b601aa135960",,
